Nro OC,Fecha,Proveedor,ID Proveedor,CUIT,Monto Total,IVA,Neto,Estado
OC-0001,12/12/2025,COCA COLA ANDINA,5001,30-50001234-5,17467997.74,3031635.97,14436361.77,Pendiente
OC-0002,06/12/2025,COCA COLA ANDINA,5001,30-50001234-5,27532002.26,4778281.38,22753720.88,Pendiente
OC-0003,02/12/2025,CERVECERIA QUILMES,5002,30-50005678-9,15674903.04,2720437.72,12954465.32,Pendiente
OC-0004,22/12/2025,CERVECERIA QUILMES,5002,30-50005678-9,22325096.96,3874603.6,18450493.36,Pendiente
OC-0005,05/12/2025,FERNET BRANCA,5003,30-50009012-3,10903299.28,1892308.14,9010991.14,Pendiente
OC-0006,18/12/2025,FERNET BRANCA,5003,30-50009012-3,4156635.3,721399.51,3435235.79,Pendiente
OC-0007,06/12/2025,FERNET BRANCA,5003,30-50009012-3,6940065.42,1204474.16,5735591.26,Pendiente
OC-0008,01/12/2025,CAMPARI ARGENTINA,5004,30-50003456-7,5837364.08,1013096.25,4824267.83,Pendiente
OC-0009,16/12/2025,CAMPARI ARGENTINA,5004,30-50003456-7,4632899.64,804056.96,3828842.68,Pendiente
OC-0010,25/12/2025,CAMPARI ARGENTINA,5004,30-50003456-7,7529736.28,1306813.73,6222922.55,Pendiente
OC-0011,11/12/2025,BODEGA NORTON,5005,30-50007890-1,7343367.16,1274468.68,6068898.48,Pendiente
OC-0012,05/12/2025,BODEGA NORTON,5005,30-50007890-1,7656632.84,1328837.1,6327795.74,Pendiente
OC-0013,24/12/2025,CCU ARGENTINA,5006,30-50002345-6,12000000.0,2082644.63,9917355.37,Pendiente
OC-0014,10/12/2025,PERNOD RICARD,5007,30-50006789-0,4079763.51,708058.13,3371705.38,Pendiente
OC-0015,10/12/2025,PERNOD RICARD,5007,30-50006789-0,2139812.53,371372.42,1768440.11,Pendiente
OC-0016,25/12/2025,PERNOD RICARD,5007,30-50006789-0,3280423.96,569329.78,2711094.18,Pendiente
OC-0017,24/12/2025,DIAGEO ARGENTINA,5008,30-50004567-8,3679321.88,638560.0,3040761.88,Pendiente
OC-0018,15/12/2025,DIAGEO ARGENTINA,5008,30-50004567-8,4320678.12,749869.76,3570808.36,Pendiente
OC-0019,24/12/2025,EPEC (ELECTRICIDAD),5050,30-99001234-5,372154.99,64588.88,307566.11,Pendiente
OC-0020,02/12/2025,EPEC (ELECTRICIDAD),5050,30-99001234-5,189129.26,32824.09,156305.17,Pendiente
OC-0021,05/12/2025,EPEC (ELECTRICIDAD),5050,30-99001234-5,288715.75,50107.69,238608.06,Pendiente
OC-0022,10/12/2025,ECOGAS,5051,30-99005678-9,420000.0,72892.56,347107.44,Pendiente
OC-0023,13/12/2025,CLARO TELECOM,5052,30-99009012-3,380000.0,65950.41,314049.59,Pendiente
OC-0024,03/12/2025,SEGUROS SANCOR,5053,30-99003456-7,467033.45,81055.39,385978.06,Pendiente
OC-0025,11/12/2025,SEGUROS SANCOR,5053,30-99003456-7,732966.55,127209.07,605757.48,Pendiente
