Fecha,ID Proveedor,Proveedor,CUIT,Monto Pagado,OC Asociada,Tipo Match,Cant Facturas,Banco,Referencia Banco,Nivel Match,Detalle Match,Confianza %
04/12/2025,5052.0,CLARO TELECOM,30-99009012-3,135809.67,OC-0023,—,1,Banco Santander,PAG699121,probable_dif_cambio,"ID exacto, sin coincidencia de monto (mejor dif $-244,190.33)",95.0
05/12/2025,5005.0,BODEGA NORTON,30-50007890-1,3220134.6,OC-0011,—,1,Banco Santander,PAG157738,probable_dif_cambio,"ID exacto, sin coincidencia de monto (mejor dif $-4,123,232.56)",95.0
06/12/2025,5007.0,PERNOD RICARD,30-50006789-0,1068588.03,OC-0015,—,1,Banco Santander,PAG804737,probable_dif_cambio,"ID exacto, sin coincidencia de monto (mejor dif $-1,071,224.50)",95.0
08/12/2025,5004.0,CAMPARI ARGENTINA,30-50003456-7,18000000.0,OC-0008 + OC-0009 + OC-0010,suma_total,3,Banco Galicia,PAG673929,match_exacto,ID exacto + suma de todas las facturas,95.0
10/12/2025,5007.0,PERNOD RICARD,30-50006789-0,3908315.58,OC-0014,—,1,Banco Santander,PAG740774,probable_dif_cambio,"ID exacto, sin coincidencia de monto (mejor dif $-171,447.93)",95.0
10/12/2025,5050.0,EPEC (ELECTRICIDAD),30-99001234-5,850000.0,OC-0019 + OC-0020 + OC-0021,suma_total,3,Banco Santander,PAG593687,match_exacto,ID exacto + suma de todas las facturas,95.0
11/12/2025,5008.0,DIAGEO ARGENTINA,30-50004567-8,1417552.13,OC-0017,—,1,Banco Galicia,PAG486473,probable_dif_cambio,"ID exacto, sin coincidencia de monto (mejor dif $-2,261,769.75)",95.0
14/12/2025,5003.0,FERNET BRANCA,30-50009012-3,13713508.64,OC-0005,—,1,Banco Galicia,PAG563339,probable_dif_cambio,"ID exacto, sin coincidencia de monto (mejor dif $+2,810,209.36)",95.0
14/12/2025,5007.0,PERNOD RICARD,30-50006789-0,4523096.39,OC-0014,—,1,Banco Santander,PAG286906,probable_dif_cambio,"ID exacto, sin coincidencia de monto (mejor dif $+443,332.88)",95.0
15/12/2025,5001.0,COCA COLA ANDINA,30-50001234-5,45000000.0,OC-0001 + OC-0002,suma_total,2,Banco Santander,PAG621800,match_exacto,ID exacto + suma de todas las facturas,95.0
16/12/2025,5052.0,CLARO TELECOM,30-99009012-3,88992.15,OC-0023,—,1,Banco Santander,PAG859246,probable_dif_cambio,"ID exacto, sin coincidencia de monto (mejor dif $-291,007.85)",95.0
16/12/2025,5053.0,SEGUROS SANCOR,30-99003456-7,335525.97,OC-0024,—,1,Banco Santander,PAG644951,probable_dif_cambio,"ID exacto, sin coincidencia de monto (mejor dif $-131,507.48)",95.0
16/12/2025,5003.0,FERNET BRANCA,30-50009012-3,8286491.36,OC-0007,—,1,Banco Galicia,PAG575779,probable_dif_cambio,"ID exacto, sin coincidencia de monto (mejor dif $+1,346,425.94)",95.0
17/12/2025,5052.0,CLARO TELECOM,30-99009012-3,55385.66,OC-0023,—,1,Banco Santander,PAG191928,probable_dif_cambio,"ID exacto, sin coincidencia de monto (mejor dif $-324,614.34)",95.0
20/12/2025,5002.0,CERVECERIA QUILMES,30-50005678-9,38000000.0,OC-0003 + OC-0004,suma_total,2,Banco Santander,PAG617437,match_exacto,ID exacto + suma de todas las facturas,95.0
20/12/2025,5053.0,SEGUROS SANCOR,30-99003456-7,186788.85,OC-0024,—,1,Banco Santander,PAG689964,probable_dif_cambio,"ID exacto, sin coincidencia de monto (mejor dif $-280,244.60)",95.0
20/12/2025,5053.0,SEGUROS SANCOR,30-99003456-7,459184.06,OC-0024,—,1,Banco Santander,PAG471042,probable_dif_cambio,"ID exacto, sin coincidencia de monto (mejor dif $-7,849.39)",95.0
21/12/2025,5005.0,BODEGA NORTON,30-50007890-1,11779865.4,OC-0012,—,1,Banco Santander,PAG465973,probable_dif_cambio,"ID exacto, sin coincidencia de monto (mejor dif $+4,123,232.56)",95.0
